candidate_id,search_seed,training_seed,rec_id,model.num_queries,train.optim.lr,train.optim.weight_decay,mAP50,latency_ms,latency_p95_ms,latency_mad_ms,latency_iqr_ms,latency_robust_cv,latency_ci95_low,latency_ci95_high,accuracy_feasible,pareto_rank,feasible_pareto_rank,dominated_by,feasible_dominated_by,normalized_accuracy_objective,normalized_latency_objective,multi_objective_compromise_score,accuracy_winner,latency_winner,multi_objective_winner,train_job_id,accuracy_eval_job_id,latency_job_id,checkpoint
seed_161803_rec_0,161803,1234,0,636,8.818759502582175e-05,0.00041383427965251606,0.5279109255336222,79.330832,79.7035575,0.08708250000000106,0.2062772499999852,0.0016274695631580112,79.29977875,79.42632475,False,0,,,,0.0,0.0,0.0,False,False,False,6b36ef24-9207-4d6f-bd5d-ef0783ad13e1,87afd9d7-0d47-4df1-8a37-60dee0e24c6a,cbcdb70d-b47b-4d87-87d8-ff9d52a3d332,/lustre/fs11/portfolios/edgeai/projects/edgeai_tao-ptm_image-foundation-model-clip/users/rarunachalam/results/6b36ef24-9207-4d6f-bd5d-ef0783ad13e1/results_dir/train/model_epoch_009_step_00440.pth
seed_161803_rec_1,161803,1234,1,672,0.00037299167765394693,0.000607346295509618,0.5754530654219836,79.60279299999999,80.401804,0.10841700000000998,0.28371649999999704,0.0020192638743217815,79.5756945,79.64990075,False,1,,seed_161803_rec_2;seed_271828_rec_1;seed_271828_rec_2,,0.0,0.0,0.0,False,False,False,baa72a84-88ce-4285-a7eb-f34185023524,b861a28f-69fb-4e5c-bdc0-ff26cfce5164,e4582eaf-a793-47b4-bef4-d03a55585715,/lustre/fs11/portfolios/edgeai/projects/edgeai_tao-ptm_image-foundation-model-clip/users/rarunachalam/results/baa72a84-88ce-4285-a7eb-f34185023524/results_dir/train/model_epoch_009_step_00440.pth
seed_161803_rec_2,161803,1234,2,311,0.0004060061439459554,0.0007521168489046003,0.5780608108132506,79.5114385,79.756012,0.1499524999999977,0.3074757499999947,0.002796070360367038,79.38672375,79.62258825,False,0,,,,0.0,0.0,0.0,False,False,False,07502f42-5cfe-4ca3-8d0d-762f4b60b235,ba73fb9a-8d82-4e64-a42d-3a52f4e36b9b,c7b2014f-3a50-4018-87bc-6c4cc05271b5,/lustre/fs11/portfolios/edgeai/projects/edgeai_tao-ptm_image-foundation-model-clip/users/rarunachalam/results/07502f42-5cfe-4ca3-8d0d-762f4b60b235/results_dir/train/model_epoch_009_step_00440.pth
seed_161803_rec_3,161803,1234,3,427,0.00045,0.0009,0.5685110586144432,80.1013925,80.43076295,0.10081149999999894,0.20928050000000553,0.0018659242397065499,80.06625700000001,80.1666815,False,4,,seed_161803_rec_1;seed_161803_rec_2;seed_161803_rec_4;seed_161803_rec_5;seed_161803_rec_6;seed_161803_rec_8;seed_271828_rec_0;seed_271828_rec_1;seed_271828_rec_2;seed_271828_rec_5;seed_271828_rec_7;seed_271828_rec_9,,0.0,0.0,0.0,False,False,False,a882b3f8-e385-4ce5-9361-23ececbe4234,a1058229-58c7-4152-9f7c-05eb93922d1d,81b9ff24-e8d7-4a87-b477-c2ac880ce90b,/lustre/fs11/portfolios/edgeai/projects/edgeai_tao-ptm_image-foundation-model-clip/users/rarunachalam/results/a882b3f8-e385-4ce5-9361-23ececbe4234/results_dir/train/model_epoch_009_step_00440.pth
seed_161803_rec_4,161803,1234,4,469,0.00045,1.1000000000000001e-05,0.6131103791599072,79.94746275,80.304166,0.09866650000000021,0.19899875000001543,0.0018297385291317493,79.90873950000001,79.988636,False,1,,seed_271828_rec_5,,0.0,0.0,0.0,False,False,False,cbb31c19-6bbd-4874-940d-571faf9b608c,349be46e-780a-42d8-b8ee-065430083f55,f9ee53e3-5ab8-48f0-8ea0-4fb22bb2cbff,/lustre/fs11/portfolios/edgeai/projects/edgeai_tao-ptm_image-foundation-model-clip/users/rarunachalam/results/cbb31c19-6bbd-4874-940d-571faf9b608c/results_dir/train/model_epoch_009_step_00440.pth
seed_161803_rec_5,161803,1234,5,390,0.00042067257344835616,0.00029484690693347225,0.6012344187576898,80.0610955,80.4219965,0.09319049999999152,0.23854525000000137,0.0017257350082099168,80.027702,80.1036135,False,3,,seed_161803_rec_4;seed_161803_rec_8;seed_271828_rec_1;seed_271828_rec_5;seed_271828_rec_9,,0.0,0.0,0.0,False,False,False,89c60414-4b45-43a8-91b1-b99f9420f90a,af82344b-3131-4273-9a5e-4f01158b04ae,531be154-5fbf-4b43-a407-157643b0251f,/lustre/fs11/portfolios/edgeai/projects/edgeai_tao-ptm_image-foundation-model-clip/users/rarunachalam/results/89c60414-4b45-43a8-91b1-b99f9420f90a/results_dir/train/model_epoch_009_step_00440.pth
seed_161803_rec_6,161803,1234,6,300,0.00035563124753991963,1.1000000000000001e-05,0.5747133064895296,79.54326575,79.81152110000001,0.0928364999999971,0.18778549999998972,0.0017303714349947428,79.490827,79.621679,False,1,,seed_161803_rec_2;seed_271828_rec_2,,0.0,0.0,0.0,False,False,False,5a1b3fda-bf1d-4ad4-8957-bb2670d93650,59aeccde-12bb-449e-9437-ae5df4715cdb,dc805007-7a64-493d-83eb-866f100cffe4,/lustre/fs11/portfolios/edgeai/projects/edgeai_tao-ptm_image-foundation-model-clip/users/rarunachalam/results/5a1b3fda-bf1d-4ad4-8957-bb2670d93650/results_dir/train/model_epoch_009_step_00440.pth
seed_161803_rec_7,161803,1234,7,510,0.00012479148122745244,0.0001831487401936998,0.5501852933348778,79.61002500000001,79.86761544999999,0.11402249999999725,0.23222349999998926,0.002123473249757124,79.5528735,79.649781,False,2,,seed_161803_rec_1;seed_161803_rec_2;seed_161803_rec_6;seed_271828_rec_1;seed_271828_rec_2;seed_271828_rec_4;seed_314159_rec_7;seed_314159_rec_8,,0.0,0.0,0.0,False,False,False,0279b5df-3ad1-4d94-bdc2-b818ed233806,60fd3c94-e32c-4f11-ac2a-a1326c4108ff,161abae3-a921-4caa-8ed7-7d5bae7ebab7,/lustre/fs11/portfolios/edgeai/projects/edgeai_tao-ptm_image-foundation-model-clip/users/rarunachalam/results/0279b5df-3ad1-4d94-bdc2-b818ed233806/results_dir/train/model_epoch_009_step_00440.pth
seed_161803_rec_8,161803,1234,8,900,0.0004897936696945464,0.00021758635876237026,0.6048002442855679,79.72754975,79.94668349999999,0.09906974999999107,0.19901149999999745,0.0018422842770229092,79.66483575,79.78245575,False,2,,seed_271828_rec_1;seed_271828_rec_9,,0.0,0.0,0.0,False,False,False,d62dbe33-8d33-47b9-afb0-64b3383c382a,7bfe7ec2-1de2-43c9-9756-b71e6c2efb9d,11d40923-558d-40a2-afaa-003fdcb23626,/lustre/fs11/portfolios/edgeai/projects/edgeai_tao-ptm_image-foundation-model-clip/users/rarunachalam/results/d62dbe33-8d33-47b9-afb0-64b3383c382a/results_dir/train/model_epoch_009_step_00440.pth
seed_161803_rec_9,161803,1234,9,365,1.1000000000000001e-05,0.00019510358347995776,0.4174749954599677,79.63528425000001,80.15138305,0.13450799999999674,0.27252699999999663,0.0025041859607601654,79.53717,79.71669425,False,4,,seed_161803_rec_0;seed_161803_rec_1;seed_161803_rec_2;seed_161803_rec_6;seed_161803_rec_7;seed_271828_rec_1;seed_271828_rec_2;seed_271828_rec_3;seed_271828_rec_4;seed_271828_rec_6;seed_271828_rec_9;seed_314159_rec_7;seed_314159_rec_8,,0.0,0.0,0.0,False,False,False,f7075d9a-abc9-40f3-b0ab-c9002be6a241,e0ce6cdd-cb0f-48a5-83a6-eacec69d1dfb,758e3aa2-74e1-4f28-bd9e-56ff5b8c5cd9,/lustre/fs11/portfolios/edgeai/projects/edgeai_tao-ptm_image-foundation-model-clip/users/rarunachalam/results/f7075d9a-abc9-40f3-b0ab-c9002be6a241/results_dir/train/model_epoch_009_step_00440.pth
seed_271828_rec_0,271828,1234,0,880,0.00042094690149853614,8.268973962858836e-05,0.5948470975697717,79.74587600000001,80.0789495,0.1413974999999965,0.28382325000001174,0.002628799682381002,79.675702,79.818084,False,3,,seed_161803_rec_8;seed_271828_rec_1;seed_271828_rec_7;seed_271828_rec_9,,0.0,0.0,0.0,False,False,False,409b36af-4c6d-4a16-a63f-f49e5f5d9a0b,186d9623-3450-48de-849c-caa03abf304e,219d0345-6992-4c94-8416-33b5bfff0171,/lustre/fs11/portfolios/edgeai/projects/edgeai_tao-ptm_image-foundation-model-clip/users/rarunachalam/results/409b36af-4c6d-4a16-a63f-f49e5f5d9a0b/results_dir/train/model_epoch_009_step_00440.pth
seed_271828_rec_1,271828,1234,1,662,0.00022176445133993504,0.0009683226774070224,0.6064578150355908,79.5460065,80.0288165,0.1386825000000016,0.3710977500000041,0.0025848019724284002,79.4697295,79.60945274999999,False,0,,,,0.0,0.0,0.0,False,False,False,c3f59cd7-a1e8-421a-b276-2319fca385e9,d506d08f-2239-474c-a119-6d21385f4fc2,0af9c2d4-5ff0-4c74-b2b3-bc3992e1dd7e,/lustre/fs11/portfolios/edgeai/projects/edgeai_tao-ptm_image-foundation-model-clip/users/rarunachalam/results/c3f59cd7-a1e8-421a-b276-2319fca385e9/results_dir/train/model_epoch_009_step_00440.pth
seed_271828_rec_2,271828,1234,2,878,0.00035494019909609555,0.000389278782723149,0.5769420472162294,79.406049,79.71412955000001,0.13598799999999756,0.27185124999999744,0.0025390484898700394,79.31889949999999,79.482178,False,0,,,,0.0,0.0,0.0,False,False,False,6ced27af-76fb-4eb7-b5c9-2e9a39fc9af6,84f7c189-4c67-4ae7-9db9-384ed67b0b9a,d4c7a315-9d7e-484f-927e-19ebdf1a6f7e,/lustre/fs11/portfolios/edgeai/projects/edgeai_tao-ptm_image-foundation-model-clip/users/rarunachalam/results/6ced27af-76fb-4eb7-b5c9-2e9a39fc9af6/results_dir/train/model_epoch_009_step_00440.pth
seed_271828_rec_3,271828,1234,3,543,6.629667219374267e-05,0.00040694368097566046,0.5272129288985178,79.59000499999999,79.833579,0.11815700000001073,0.23562749999999255,0.0022010247166087743,79.494985,79.662334,False,3,,seed_161803_rec_0;seed_161803_rec_2;seed_161803_rec_6;seed_271828_rec_1;seed_271828_rec_2;seed_271828_rec_4;seed_271828_rec_6;seed_314159_rec_7;seed_314159_rec_8,,0.0,0.0,0.0,False,False,False,8b6e5b71-f442-4d00-bb77-92fb25bb8ca3,5075d19e-1ea3-43a2-863c-8d63d18a8ddb,d9505d85-66dc-4f9c-bdd9-e5eda6192925,/lustre/fs11/portfolios/edgeai/projects/edgeai_tao-ptm_image-foundation-model-clip/users/rarunachalam/results/8b6e5b71-f442-4d00-bb77-92fb25bb8ca3/results_dir/train/model_epoch_009_step_00440.pth
seed_271828_rec_4,271828,1234,4,528,0.00015501830178659112,0.00016477914231139237,0.5531067912182914,79.51142975,79.7540071,0.10820075000000884,0.21567075000000102,0.0020175518470036454,79.4183075,79.58012675,False,1,,seed_271828_rec_2;seed_314159_rec_7,,0.0,0.0,0.0,False,False,False,6aa12373-f646-474b-a465-6aec0f113028,db586725-dead-4a5b-b974-512934b86fd9,47bc0342-49a5-4d7f-b986-8bd4c7ac6707,/lustre/fs11/portfolios/edgeai/projects/edgeai_tao-ptm_image-foundation-model-clip/users/rarunachalam/results/6aa12373-f646-474b-a465-6aec0f113028/results_dir/train/model_epoch_009_step_00440.pth
seed_271828_rec_5,271828,1234,5,594,0.00045,0.00026967723799334445,0.6359897329231639,79.89227525,80.21695199999999,0.13106925000000302,0.2600092500000102,0.0024323161337178774,79.82051150000001,79.98804975,True,0,0,,,0.0,0.0,0.0,True,True,True,768b852a-aa1d-42c0-b0ec-586f5ceca222,56ad4580-ce0a-4ba0-862e-2ae063f0a0bd,7eb78cc8-be0b-48e0-84e4-ceaa2736802a,/lustre/fs11/portfolios/edgeai/projects/edgeai_tao-ptm_image-foundation-model-clip/users/rarunachalam/results/768b852a-aa1d-42c0-b0ec-586f5ceca222/results_dir/train/model_epoch_009_step_00440.pth
